# E_barriers:  22.25000  0.25000  0.10000  0.10000
# alpha: -0.01
# time(ms)  distance  kmc-step
                 0.00010       -40          1000
                 0.00020       -63          2000
                 0.00030      -105          3000
                 0.00040      -155          4000
                 0.00050      -191          5000
                 0.00060      -221          6000
                 0.00070      -257          7000
                 0.00080      -289          8000
                 0.00090      -321          9000
                 0.00100      -352         10000
                 0.00110      -373         11000
                 0.00120      -412         12000
                 0.00130      -438         13000
                 0.00140      -467         14000
                 0.00150      -505         15000
                 0.00160      -532         16000
                 0.00170      -558         17000
                 0.00180      -590         18000
                 0.00190      -627         19000
                 0.00200      -659         20000
                 0.00210      -696         21000
                 0.00220      -730         22000
                 0.00230      -764         23000
                 0.00240      -798         24000
                 0.00250      -837         25000
                 0.00260      -869         26000
                 0.00270      -918         27000
                 0.00280      -952         28000
                 0.00290      -985         29000
                 0.00300     -1010         30000
                 0.00310     -1034         31000
                 0.00320     -1063         32000
                 0.00330     -1096         33000
                 0.00340     -1127         34000
                 0.00350     -1168         35000
                 0.00360     -1198         36000
                 0.00370     -1226         37000
                 0.00380     -1264         38000
                 0.00390     -1290         39000
                 0.00400     -1323         40000
                 0.00410     -1350         41000
                 0.00420     -1384         42000
                 0.00430     -1417         43000
                 0.00440     -1444         44000
                 0.00450     -1469         45000
                 0.00460     -1503         46000
                 0.00470     -1530         47000
                 0.00480     -1550         48000
                 0.00490     -1576         49000
                 0.00500     -1611         50000
