# time(ms)  distance  kmc-step
        0.0000       0             1
        0.0010     -59         10001
        0.0020    -152         20001
        0.0030    -271         30001
        0.0040    -381         40001
        0.0050    -491         50001
        0.0060    -614         60001
        0.0070    -719         70001
        0.0080    -836         80001
        0.0090    -930         90001
        0.0100   -1025        100001
        0.0110   -1082        110001
        0.0120   -1157        120001
        0.0130   -1226        130001
        0.0140   -1294        140001
        0.0150   -1361        150001
        0.0160   -1436        160001
        0.0170   -1509        170001
        0.0180   -1537        180001
        0.0190   -1585        190001
        0.0200   -1615        200001
        0.0210   -1681        210001
        0.0220   -1722        220001
        0.0230   -1716        230001
        0.0240   -1749        240001
        0.0250   -1740        250001
        0.0260   -1720        260001
        0.0270   -1726        270001
        0.0280   -1705        280001
        0.0290   -1682        290001
        0.0300   -1651        300001
        0.0310   -1607        310001
        0.0320   -1622        320001
        0.0330   -1576        330001
        0.0340   -1511        340001
        0.0350   -1422        350001
        0.0360   -1348        360001
        0.0370   -1291        370001
        0.0380   -1244        380001
        0.0390   -1171        390001
        0.0400   -1080        400001
        0.0410    -981        410001
        0.0420    -894        420001
        0.0430    -847        430001
        0.0440    -744        440001
        0.0450    -673        450001
        0.0460    -567        460001
        0.0470    -487        470001
        0.0480    -377        480001
        0.0490    -262        490001
        0.0500    -174        500001
        0.0510     -73        510001
        0.0520      17        520001
        0.0530     101        530001
        0.0540     245        540001
        0.0550     362        550001
        0.0560     416        560001
        0.0570     533        570001
        0.0580     625        580001
        0.0590     725        590001
        0.0600     796        600001
        0.0610     860        610001
        0.0620     917        620001
        0.0630     985        630001
        0.0640    1046        640001
        0.0650    1100        650001
        0.0660    1178        660001
        0.0670    1268        670001
        0.0680    1313        680001
        0.0690    1319        690001
        0.0700    1358        700001
        0.0710    1393        710001
        0.0720    1437        720001
        0.0730    1430        730001
        0.0740    1446        740001
        0.0750    1456        750001
        0.0760    1414        760001
        0.0770    1434        770001
        0.0780    1423        780001
        0.0790    1380        790001
        0.0800    1363        800001
        0.0810    1341        810001
        0.0820    1286        820001
        0.0830    1228        830001
        0.0840    1222        840001
        0.0850    1137        850001
        0.0860    1061        860001
        0.0870     989        870001
        0.0880     905        880001
        0.0890     846        890001
        0.0900     753        900001
        0.0910     640        910001
        0.0920     536        920001
        0.0930     411        930001
        0.0940     314        940001
        0.0950     271        950001
        0.0960     173        960001
        0.0970     117        970001
        0.0980       2        980001
        0.0990     -86        990001
        0.1000    -184       1000001
        0.1010    -300       1010001
        0.1020    -405       1020001
        0.1030    -532       1030001
        0.1040    -651       1040001
        0.1050    -756       1050001
        0.1060    -851       1060001
        0.1070    -939       1070001
        0.1080    -964       1080001
        0.1090   -1027       1090001
        0.1100   -1073       1100001
        0.1110   -1144       1110001
        0.1120   -1233       1120001
        0.1130   -1308       1130001
        0.1140   -1401       1140001
        0.1150   -1458       1150001
        0.1160   -1549       1160001
        0.1170   -1574       1170001
        0.1180   -1606       1180001
        0.1190   -1635       1190001
        0.1200   -1689       1200001
        0.1210   -1737       1210001
        0.1220   -1759       1220001
        0.1230   -1793       1230001
        0.1240   -1781       1240001
        0.1250   -1820       1250001
        0.1260   -1810       1260001
        0.1270   -1780       1270001
        0.1280   -1745       1280001
        0.1290   -1678       1290001
        0.1300   -1656       1300001
        0.1310   -1626       1310001
        0.1320   -1578       1320001
        0.1330   -1493       1330001
        0.1340   -1431       1340001
        0.1350   -1361       1350001
        0.1360   -1285       1360001
        0.1370   -1240       1370001
        0.1380   -1166       1380001
        0.1390   -1087       1390001
        0.1400   -1014       1400001
        0.1410    -942       1410001
        0.1420    -852       1420001
        0.1430    -766       1430001
        0.1440    -660       1440001
        0.1450    -545       1450001
        0.1460    -410       1460001
        0.1470    -340       1470001
        0.1480    -276       1480001
        0.1490    -184       1490001
        0.1500     -92       1500001
        0.1510     -34       1510001
        0.1520      78       1520001
        0.1530     186       1530001
        0.1540     312       1540001
        0.1550     378       1550001
        0.1560     448       1560001
        0.1570     548       1570001
        0.1580     627       1580001
        0.1590     730       1590001
        0.1600     822       1600001
        0.1610     939       1610001
        0.1620    1023       1620001
        0.1630    1062       1630001
        0.1640    1157       1640001
        0.1650    1196       1650001
        0.1660    1269       1660001
        0.1670    1331       1670001
        0.1680    1379       1680001
        0.1690    1422       1690001
        0.1700    1480       1700001
        0.1710    1497       1710001
        0.1720    1499       1720001
        0.1730    1515       1730001
        0.1740    1540       1740001
        0.1750    1580       1750001
        0.1760    1569       1760001
        0.1770    1544       1770001
        0.1780    1524       1780001
        0.1790    1555       1790001
        0.1800    1485       1800001
        0.1810    1456       1810001
        0.1820    1372       1820001
        0.1830    1325       1830001
        0.1840    1308       1840001
        0.1850    1245       1850001
        0.1860    1166       1860001
        0.1870    1117       1870001
        0.1880    1065       1880001
        0.1890     980       1890001
